Geographic Area - Borough,Geographic Area - 2010 Census FIPS County Code,Geographic Area - Neighborhood Tabulation Area (NTA)* Code,Geographic Area - Neighborhood Tabulation Area (NTA)* Name,Total Population 2000 Number,Total Population 2010 Number,Total Population Change 2000-2010 Number,Total Population Change 2000-2010 Percent
Queens,81,QN29,Elmhurst,87972,88427,455,0.5
Queens,81,QN30,Maspeth,28916,30516,1600,5.5
Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,61947,63271,1324,2.1
Queens,81,QN33,Cambria Heights,20944,18677,-2267,-10.8
Queens,81,QN34,Queens Village,57704,52504,-5200,-9
Queens,81,QN35,Briarwood-Jamaica Hills,38675,39138,463,1.2
Queens,81,QN37,Kew Gardens Hills,36052,37479,1427,4
Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,31734,34034,2300,7.2
Queens,81,QN41,Fresh Meadows-Utopia,17373,17812,439,2.5
Queens,81,QN42,Oakland Gardens,27873,28237,364,1.3
Queens,81,QN43,Bellerose,24464,25287,823,3.4
Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,22426,22571,145,0.6
Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,24356,24739,383,1.6
Queens,81,QN46,Bayside-Bayside Hills,44371,43808,-563,-1.3
Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,22731,21751,-980,-4.3
Queens,81,QN48,Auburndale,20201,19996,-205,-1
Queens,81,QN49,Whitestone,31356,30773,-583,-1.9
Queens,81,QN50,Elmhurst-Maspeth,24338,25521,1183,4.9
Queens,81,QN51,Murray Hill,53009,51739,-1270,-2.4
Queens,81,QN52,East Flushing,26516,26982,466,1.8
Queens,81,QN53,Woodhaven,54149,56674,2525,4.7
Queens,81,QN54,Richmond Hill,62985,62982,-3,0
Queens,81,QN55,South Ozone Park,78906,75878,-3028,-3.8
Queens,81,QN56,Ozone Park,21052,21376,324,1.5
Queens,81,QN57,Lindenwood-Howard Beach,28121,26148,-1973,-7
Queens,81,QN60,Kew Gardens,23888,23278,-610,-2.6
Queens,81,QN61,Jamaica,51849,53751,1902,3.7
Queens,81,QN62,Queensboro Hill,19309,20800,1491,7.7
Queens,81,QN63,Woodside,43846,45099,1253,2.9
Queens,81,QN66,Laurelton,26375,24453,-1922,-7.3
Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,21104,20030,-1074,-5.1
Queens,81,QN70,Astoria,89122,78793,-10329,-11.6
Queens,81,QN71,Old Astoria,28847,27814,-1033,-3.6
Queens,81,QN72,Steinway,53604,47534,-6070,-11.3
Queens,81,QN76,Baisley Park,35729,34603,-1126,-3.2
Queens,81,QN98,Airport,0,0,0,
Queens,81,QN99,park-cemetery-etc-Queens,1785,436,-1349,-75.6
Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,26376,27770,1394,5.3
Staten Island,85,SI05,New Springville-Bloomfield-Travis,39309,39597,288,0.7
Staten Island,85,SI07,Westerleigh,23790,24102,312,1.3
Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,19834,22460,2626,13.2
Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,18332,23313,4981,27.2
Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,27957,31474,3517,12.6
Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,15238,16079,841,5.5
Staten Island,85,SI22,West New Brighton-New Brighton-St. George,32154,33551,1397,4.3
Staten Island,85,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30762,30714,-48,-0.2
Staten Island,85,SI25,Oakwood-Oakwood Beach,22266,22049,-217,-1
Staten Island,85,SI28,Port Richmond,18042,20191,2149,11.9
Staten Island,85,SI32,Rossville-Woodrow,18894,20763,1869,9.9
Staten Island,85,SI35,New Brighton-Silver Lake,16784,17525,741,4.4
Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,23017,24835,1818,7.9
Staten Island,85,SI37,Stapleton-Rosebank,24048,26453,2405,10
Staten Island,85,SI45,New Dorp-Midland Beach,20242,21896,1654,8.2
Staten Island,85,SI48,Arden Heights,24996,25238,242,1
Staten Island,85,SI54,Great Kills,41680,40720,-960,-2.3
Staten Island,85,SI99,park-cemetery-etc-Staten Island,7,0,-7,-100
"*Neighborhood Tabulation Areas, or NTAs, are aggregations of census tracts that are subsets of New York City's 55 Public Use Microdata Areas (PUMAs). ",,,,,,,
"Primarily due to these constraints, NTA boundaries and their associated names may not definitively represent neighborhoods.",,,,,,,
